"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DPH2",205.591117438695,-0.84063046878471,0.102188914808932,-8.2262393172144,1.93182854451857e-16,4.08659010307458e-12
"RABEPK",156.189706154991,-0.723050646601156,0.101918517283805,-7.09439919134354,1.29914632563647e-12,1.3741070686257e-08
"SLC7A9",18.4328614286153,2.06060742834614,0.29427681377606,7.00227585688837,2.51837593330007e-12,1.77579081643432e-08
"FAM174A",207.045883295873,-0.971392203600182,0.143602375653437,-6.76445775482499,1.33809395067529e-11,7.07650985814628e-08
"DDIT4L",83.7298895631605,2.0130405544258,0.300966928069752,6.68857727105238,2.25350649307857e-11,9.53413527091681e-08
"PNISR",2401.89302521932,0.971629401355074,0.146123425207659,6.64937466374246,2.94340871596754e-11,1.03774779962629e-07
"GSS",308.109958388831,-0.933007534348289,0.141060808181368,-6.61422223775069,3.73510259519545e-11,1.12874800426806e-07
"SST",157.71490080826,-2.86594048925064,0.443263340199312,-6.46554819526014,1.00932227333358e-10,2.66890042126233e-07
"VCP",2705.92095857256,-0.79766449856133,0.127697524348478,-6.24651497850936,4.19711787525974e-10,5.2226959725438e-07
"TM7SF2",372.967317021225,-1.05889594343373,0.168364550319685,-6.28930461562804,3.18891184688809e-10,5.2226959725438e-07
"TKFC",287.732899520128,-0.950708236218559,0.151834272978616,-6.26148640598725,3.81325065455058e-10,5.2226959725438e-07
"RASSF3",184.338407348132,1.16690027938986,0.186660478598853,6.25145873485951,4.06636548354882e-10,5.2226959725438e-07
"PHB2",546.68476661408,-0.635647516710196,0.101683085261698,-6.25126111264478,4.07151504272326e-10,5.2226959725438e-07
"MPV17L2",87.3921692783304,-1.07841712685743,0.172183224522883,-6.26319509258643,3.77168253979948e-10,5.2226959725438e-07
"COPE",1077.97667879073,-0.74234213659396,0.118424495142108,-6.26848470583013,3.64578423281997e-10,5.2226959725438e-07
"EIF3K",690.958010907279,-0.537180933261845,0.0858026273768659,-6.26065832346155,3.83355641536521e-10,5.2226959725438e-07
"DTD1",307.396507111925,-0.945941083772804,0.150724982178483,-6.27594092300275,3.47526129850378e-10,5.2226959725438e-07
"DHRS7B",129.062856912473,-0.669784087404241,0.10739945278579,-6.23638268195034,4.4780486211669e-10,5.26270225178693e-07
"CBX4",583.878593078793,-0.834851704349442,0.134198774243646,-6.22100841870375,4.93969655655545e-10,5.28637094550635e-07
"MED29",1116.79811598382,-0.755764891565823,0.121521869253343,-6.21916776140304,4.9979870903908e-10,5.28637094550635e-07
"FOXJ1",79.0398011173659,3.1230700606849,0.504422156409388,6.19138160566885,5.96391260713746e-10,6.00764796625647e-07
