"TF","mean_AD","mean_Old","mean_Young","diff_AD_vs_Old","diff_AD_vs_Young","pval_AD_vs_Old","pval_AD_vs_Young","padj_AD_vs_Old","padj_AD_vs_Young"
"YY1",1.84591268426633,1.2451815132935,1.54921055700266,0.600731170972832,0.296702127263669,0.000145592184117824,0.112593043539869,0.0246050791159122,0.404313098857789
"NFATC1",1.29062765877024,2.13478470465809,1.56644699723634,-0.844157045887849,-0.275819338466091,0.00103142325411054,0.409279918719465,0.087155264972341,0.671536954015433
"REST",-10.4690628392589,-13.4441121874255,-9.8638948296287,2.97504934816652,-0.605168009630233,0.00620673450121835,0.781461586608092,0.318559899069373,0.91333760614398
"PAX8",0.628742998338043,0.32258070130339,0.556600579776125,0.306162297034653,0.0721424185619185,0.00753987926791415,0.673311957175147,0.318559899069373,0.842886820463703
"THAP11",8.34680361201566,7.19226124571071,8.92080227486797,1.15454236630495,-0.573998662852311,0.0111240705033843,0.313111659727369,0.340099134346821,0.588862431529772
"CREB1",0.59055068549597,1.59538556749954,0.614418103612659,-1.00483488200357,-0.0238674181166882,0.0120745254797688,0.878421379845836,0.340099134346821,0.957762665767395
"ATF3",0.0258527989969236,-0.0496935611655564,-0.0433189217074526,0.0755463601624801,0.0691717207043762,0.0169815162395222,0.04487138745652,0.361795862725658,0.307768794936667
"NRF1",17.2793751241435,17.5931312680275,17.633610430584,-0.31375614388406,-0.354235306440579,0.0196426913382317,0.132587641810454,0.361795862725658,0.434542415598187
"NR4A1",2.23706041678286,1.95463216537743,1.8625613887122,0.282428251405431,0.374499028070656,0.0222381739138955,0.018160815506053,0.361795862725658,0.279016165502087
"MYC",12.1326802982262,12.2070492877563,12.2504036670905,-0.0743689895300772,-0.117723368864306,0.0231042499527452,0.000447590394961891,0.361795862725658,0.0756427767485595
"GLI1",4.63679950702797,3.15027235053497,3.90405221223538,1.486527156493,0.732747294792595,0.0249182420418016,0.340598805861309,0.361795862725658,0.612353172240013
"RXRA",1.54401896526692,1.07200856707071,1.24394444404207,0.472010398196216,0.30007452122485,0.0273569313717456,0.22914370723828,0.361795862725658,0.543849195041533
"TBP",4.22965687314283,6.50029603013092,6.18791794710737,-2.27063915698809,-1.95826107396454,0.0281596187456895,0.061917982413294,0.361795862725658,0.307768794936667
"MEF2C",4.34678191492895,3.75899994998,3.74359301634199,0.587781964948947,0.603188898586958,0.0299712549003504,0.102422313671887,0.361795862725658,0.404313098857789
"PAX6",1.0046401594182,1.56226421034878,1.36671310284818,-0.55762405093058,-0.362072943429981,0.0338981748208727,0.2514031557005,0.375943367878839,0.551780952121877
"ARNT",2.2951451555907,3.78252975385179,2.27927338782097,-1.48738459826109,0.0158717677697284,0.037726246453596,0.980927039263412,0.375943367878839,0.993111243103463
"HNF1A",7.68090045601815,7.93716161869954,7.84386256527807,-0.256261162681388,-0.162962109259923,0.0378167884848536,0.286281902172804,0.375943367878839,0.577379346121012
"NR1H4",3.26523338790723,3.50354645685373,3.33694871391997,-0.238313068946496,-0.0717153260127401,0.0448730797679908,0.650147362213305,0.392562567970863,0.832385637985216
"NFYA",16.0499141574604,16.2774596885835,16.4249238792769,-0.227545531123123,-0.375009721816536,0.0448952079959029,0.0112178237058798,0.392562567970863,0.210645800699298
"PPARA",0.921983023245339,0.704181788742448,0.683067642584312,0.217801234502891,0.238915380661027,0.0464571086356051,0.201157091197052,0.392562567970863,0.507396244959728
"STAT5A",1.70087341791852,2.06705028200926,1.17251733182914,-0.366176864090738,0.528356086089377,0.0554873005901158,0.00275423184399517,0.416601417086207,0.137986871078726
"HIF1A",13.8574222302405,14.0256954624329,13.8709854694654,-0.168273232192451,-0.0135632392248812,0.0561914470750816,0.83814860321899,0.416601417086207,0.937432437149779
"HSF1",10.1721761161258,7.83966889389416,8.84990451724461,2.33250722223164,1.3222715988812,0.0571439201165029,0.185268313204857,0.416601417086207,0.484809076762085
"PAX5",-0.0100831533669793,0.126901187667686,0.0942330046003566,-0.136984341034665,-0.104316157967336,0.0597604911520845,0.264184796204857,0.416601417086207,0.565154817197732
"FOXO4",14.2139090773339,14.4733140166448,14.3683511580643,-0.259404939310944,-0.154442080730405,0.0616274285630484,0.182933530391026,0.416601417086207,0.484809076762085
"RUNX2",0.081334754303259,0.191428007067158,0.23773276286695,-0.110093252763899,-0.156398008563691,0.0681461677625764,0.181123348344811,0.442950090456747,0.484809076762085
"TP63",5.87699181533665,7.30731302818504,5.45499277536275,-1.43032121284839,0.4219990399739,0.0717058461632122,0.564081151005727,0.448825481540106,0.775038329430633
"NANOG",-0.251298971553941,-0.449635248759028,-0.421519844318793,0.198336277205087,0.170220872764851,0.0748583148323818,0.163510604940822,0.451823400238304,0.469853193365137
"NFATC2",4.60658922440046,4.82823435584798,4.27015591467199,-0.221645131447522,0.336433309728469,0.0814061238578148,0.135740204506774,0.474401204550714,0.434542415598187
"RFX1",3.01362070754124,2.09588574478488,1.69922291922122,0.917734962756354,1.31439778832002,0.0921054566849259,0.0482384942193179,0.49760725121158,0.307768794936667
"MYB",0.360742412389228,0.752905923001736,0.739706712110223,-0.392163510612508,-0.378964299720995,0.0939517413534845,0.056477376874943,0.49760725121158,0.307768794936667
"USF1",10.1149224501274,8.57512819857414,7.92872528553076,1.5397942515533,2.18619716459668,0.0978316524106091,0.0592960712725728,0.49760725121158,0.307768794936667
"RARA",1.83405623376265,2.96636975386158,1.81737595285107,-1.13231352009893,0.0166802809115862,0.101668899047142,0.971910420186105,0.49760725121158,0.993111243103463
"TCF7",4.14349059589779,3.44041890865991,2.61945409901238,0.703071687237884,1.52403649688542,0.102179159647898,0.00268111104686109,0.49760725121158,0.137986871078726
"IRF8",0.965251507748836,1.18867521467717,1.26210088472666,-0.223423706928336,-0.296849376977824,0.10472983674712,0.116973276262079,0.49760725121158,0.404313098857789
"TFAP2A",11.4404488708913,11.5681641616074,11.5425181841804,-0.127715290716088,-0.102069313289149,0.105999177772881,0.169591981037121,0.49760725121158,0.469853193365137
"PGR",1.96609699371285,1.51684349467741,1.41495352600495,0.449253499035445,0.551143467707905,0.117626473424112,0.0868905996577044,0.515592031086188,0.367112783553801
"FOXO1",5.59044517178575,4.57198722898894,5.59805166124517,1.01845794279681,-0.00760648945942144,0.119874046157789,0.993111243103463,0.515592031086188,0.993111243103463
"MXI1",18.1795656206517,18.0546622501476,18.0353208963316,0.124903370504132,0.144244724320089,0.12387168498238,0.151520097718841,0.515592031086188,0.465579936626985
"CREM",-0.641297307000712,-0.327667345530767,-0.350386551225773,-0.313629961469945,-0.290910755774939,0.125890805459751,0.125382970967932,0.515592031086188,0.423794441871611
"JUN",1.17686803046268,3.09520779855027,1.87048233200731,-1.9183397680876,-0.693614301544628,0.128007075772545,0.313595377737748,0.515592031086188,0.588862431529772
"TWIST1",2.20323090526023,1.81695325829009,1.52029265793711,0.386277646970131,0.682938247323117,0.12813529766639,0.042583811831723,0.515592031086188,0.307768794936667
"NFKB2",3.73494103704217,5.12711153037826,4.07457516420533,-1.39217049333609,-0.339634127163162,0.140071857880351,0.630634501947165,0.542177275888906,0.819824852531315
"JUND",1.73387723661987,1.30464012342434,1.67988651914587,0.429237113195524,0.0539907174739922,0.145632258807688,0.848681437182936,0.542177275888906,0.937432437149779
"ATF1",1.62968595665193,2.34865157338015,2.74381134166765,-0.718965616728216,-1.11412538501572,0.147467244617374,0.0862033618960859,0.542177275888906,0.367112783553801
"HIC1",-3.12437413068807,-2.70728911105316,-3.42454878067471,-0.417085019634906,0.300174649986637,0.147574879827749,0.423757569452999,0.542177275888906,0.684985355981629
"WT1",-0.103176526575467,-0.0829059423048744,-0.0911725146963309,-0.0202705842705928,-0.0120040118791363,0.1562285024698,0.364039081768659,0.543914133777024,0.619479487132302
"SP4",11.0593366675879,12.830480746212,12.1353146228834,-1.77114407862408,-1.07597795529549,0.157846204751938,0.458592970457043,0.543914133777024,0.698218126191353
"FOSL1",0.0973119792084083,0.176865384533309,0.149070027439649,-0.0795534053249009,-0.0517580482312402,0.159738765971931,0.136276615542627,0.543914133777024,0.434542415598187
"HNF4A",14.3875650970153,14.3260187422004,14.2103692674122,0.0615463548148618,0.177195829603068,0.160921341354149,0.0040824518070629,0.543914133777024,0.137986871078726
"RUNX1",15.7658903061074,15.6877581589966,15.6351230627351,0.0781321471107947,0.130767243372221,0.177845072289277,0.0586184237074615,0.589329749350742,0.307768794936667
"IRF1",4.35311358734481,3.43298795257781,3.95682802097156,0.920125634766995,0.396285566373252,0.187202730527423,0.61801999374549,0.608408874214125,0.8136524543835
"RELA",1.04261270384617,1.95120682420224,1.21291317746098,-0.908594120356069,-0.170300473614809,0.19101898453331,0.773917254129544,0.609098271436403,0.91333760614398
"BACH1",13.8883528434285,13.9528629121678,14.0120887799459,-0.0645100687393825,-0.12373593651742,0.199025843549816,0.0739743712266324,0.617243443178119,0.333710027447639
"E2F6",-5.11836233368649,-4.48074970676714,-5.69737915949513,-0.637612626919352,0.579016825808638,0.204332526082416,0.3936234242361,0.617243443178119,0.658637214810899
"SRF",15.4692487843837,15.708262856653,15.3311075011618,-0.239014072269278,0.138141283221925,0.204530371703992,0.451153261906937,0.617243443178119,0.698218126191353
"CTCF",13.6422774403227,13.6876011406246,13.5231366640052,-0.0453237003019602,0.119140776317492,0.222868286512034,0.225806403935588,0.660784919658485,0.543849195041533
"TCF3",3.10412833032769,2.66842782897048,2.8446697264809,0.435700501357209,0.25945860384679,0.240996139393301,0.608638787374615,0.693916303760729,0.809920906033937
"MAX",0.239487098347902,0.307256072056906,0.449642164280369,-0.0677689737090042,-0.210155065932468,0.242254804271497,0.00929263442160094,0.693916303760729,0.19630690215632
"BCL6",-2.07927199508468,-2.64286600521723,-2.26660471398409,0.563594010132542,0.187332718899404,0.252230996525363,0.727883337666927,0.710450640213106,0.888832765880102
"ATF2",1.48030018871201,2.06145992295643,1.38828199922911,-0.581159734244424,0.092018189482898,0.259790768483077,0.811185287748491,0.713053550974844,0.926285902901993
"SOX2",16.0468472167064,16.1508073070971,15.9078992244786,-0.1039600903907,0.138947992227857,0.261593610416807,0.398014014953158,0.713053550974844,0.659454593402781
"RELB",0.596287848978211,0.380496114395797,1.03430413565845,0.215791734582415,-0.438016286680238,0.268225496236196,0.258080105879616,0.714098502447267,0.559173562739167
"TP73",10.119013085818,9.96739558867931,9.09297109518493,0.151617497138719,1.0260419906331,0.271591389598273,0.046125938295464,0.714098502447267,0.307768794936667
"IRF3",1.0114192140932,0.865855229965792,1.05524529355182,0.145563984127411,-0.0438260794586149,0.274653270172026,0.455778209604097,0.714098502447267,0.698218126191353
"AR",12.5374930084832,12.5947221935616,12.5864064794549,-0.0572291850784321,-0.0489134709716996,0.281298339511065,0.309509467868033,0.720294232990454,0.588862431529772
"SMAD3",8.52293953790482,7.35533093462373,7.61175721527462,1.1676086032811,0.911182322630205,0.312779417539143,0.466351444118043,0.750457649534068,0.701781800049852
"IRF9",11.8174551305238,12.031488740168,11.2555119994806,-0.214033609644199,0.561943131043195,0.314093431159513,0.277351547548967,0.750457649534068,0.577379346121012
"IRF2",5.24700876876487,6.47658722880274,5.29357063360754,-1.22957846003787,-0.0465618648426718,0.316036914388681,0.969863655461694,0.750457649534068,0.993111243103463
"POU2F1",0.577956122319846,0.384609765700553,0.953639792876346,0.193346356619292,-0.375683670556501,0.3196656966509,0.239159816374692,0.750457649534068,0.545287340155171
"ELK1",12.3559003409883,12.4795357043265,12.278519543566,-0.123635363338249,0.0773807974223057,0.319830315629178,0.285323731185325,0.750457649534068,0.577379346121012
"SNAI1",-0.0871819101261154,-0.162397520558586,-0.147969540699827,0.0752156104324703,0.0607876305737113,0.322174748168565,0.457838585814856,0.750457649534068,0.698218126191353
"AHR",0.494751664155276,0.827445310807727,0.504095616829149,-0.33269364665245,-0.00934395267387267,0.337270278760142,0.967426235978356,0.750457649534068,0.993111243103463
"KLF5",8.15075780101061,7.54906669050445,8.1729632863798,0.601691110506155,-0.0222054853691933,0.33984616537189,0.983660004385335,0.750457649534068,0.993111243103463
"FLI1",0.508033224941763,0.680434082559338,0.612753600546215,-0.172400857617575,-0.104720375604453,0.342592215728524,0.555595526238717,0.750457649534068,0.769636425691338
"FOXL2",6.24494395760491,5.77181269743783,5.81958707107963,0.473131260167079,0.425356886525282,0.347412726580161,0.491237122978427,0.750457649534068,0.701781800049852
"TCF4",17.9980017821447,18.1549894375178,17.7306594575424,-0.156987655373111,0.267342324602257,0.35371875732949,0.117226874816755,0.750457649534068,0.404313098857789
"NFIC",10.9152525104598,10.2753824317799,10.0324080251975,0.639870078679872,0.882844485262327,0.35647356945585,0.294907237027782,0.750457649534068,0.583915593002103
"GATA4",2.6523491406852,2.54292415999559,2.22508254116224,0.109424980689612,0.427266599522961,0.356892470741051,0.0342101302572866,0.750457649534068,0.307768794936667
"USF2",8.50419896644974,7.25087942975858,5.4189273081492,1.25331953669116,3.08527165830054,0.35722626354288,0.0443014873570624,0.750457649534068,0.307768794936667
"ZEB1",-0.0140786676739564,-0.063887743231041,0.0528128739641636,0.0498090755570847,-0.06689154163812,0.363033167736389,0.366555909545741,0.750457649534068,0.619479487132302
"SPIB",-0.787028133939212,-0.938510093620201,-0.953365544919047,0.151481959680988,0.166337410979835,0.367095135413173,0.242050384393738,0.750457649534068,0.545287340155171
"GATA3",15.1129810554853,15.1522408978074,14.9963089401206,-0.0392598423220996,0.1166721153647,0.368567958055193,0.166116374108384,0.750457649534068,0.469853193365137
"E2F1",13.2388284115493,13.2061981997194,13.2118199966712,0.0326302118298774,0.0270084148780967,0.387837554240007,0.547664389164818,0.780292222220966,0.764919684040117
"CDX2",8.24933981828923,7.8469922415711,8.35208896320002,0.402347576718135,-0.102749144910792,0.395224180719125,0.731051801522688,0.785798665194496,0.888832765880102
"E2F3",4.35823204299183,3.76323106484658,4.8008734236369,0.59500097814525,-0.442641380645073,0.406678302550852,0.672364356496196,0.795417648707377,0.842886820463703
"PPARG",5.20165837845903,4.76246906129037,4.7277261851235,0.439189317168662,0.473932193335533,0.41217862352325,0.430296913540478,0.795417648707377,0.686039418757932
"NR2F2",0.21764255336793,0.159637835305943,0.382813928009734,0.0580047180619872,-0.165171374641804,0.417996103873649,0.297140479279177,0.795417648707377,0.583915593002103
"RFX5",3.08060163690207,4.32516930230599,3.77784563310796,-1.24456766540392,-0.697243996205886,0.418888584230512,0.608553061300879,0.795417648707377,0.809920906033937
"E2F2",1.24888975853443,1.491736732713,1.09607442732292,-0.242846974178564,0.152815331211512,0.425686292724481,0.640113642585656,0.796599248951698,0.825795462572334
"NR3C1",-0.0417516804388394,-0.0607235423318041,-0.108391658970515,0.0189718618929647,0.0666399785316759,0.429174084645823,0.0222757237010702,0.796599248951698,0.289950096215625
"IRF4",2.10583963282238,2.25817606968392,2.10267735201068,-0.152336436861538,0.00316228081169267,0.43365166215122,0.986603972332446,0.796599248951698,0.993111243103463
"MAF",2.72973612045486,2.9158246817257,2.53472400225713,-0.186088561270843,0.195012118197725,0.438927351474426,0.621071991807524,0.797620670958903,0.8136524543835
"NR2F1",-4.81662954070325,-4.55984840887016,-4.7679230605815,-0.256781131833094,-0.0487064801217532,0.461261240892198,0.926764570769947,0.811458498031747,0.993111243103463
"LEF1",0.596970587895677,0.724263579198188,0.433013914159269,-0.127292991302511,0.163956673736408,0.462894097112338,0.344821264928287,0.811458498031747,0.613418881819794
"YBX1",-0.171197544017129,-0.141389072939668,-0.165725790114806,-0.0298084710774608,-0.0054717539023228,0.468407071023216,0.869368441757862,0.811458498031747,0.954047186084926
"ETS2",0.748757426679988,0.989276653490277,0.404292546241202,-0.240519226810289,0.344464880438786,0.469438047325697,0.164069523102243,0.811458498031747,0.469853193365137
"JUNB",12.7852738502791,13.3894964850523,11.3062135655095,-0.604222634773198,1.47906028476956,0.473752805956742,0.0509595145152379,0.811458498031747,0.307768794936667
"ETV4",2.78297149311789,3.01096805452818,2.70226065328591,-0.22799656141029,0.0807108398319776,0.475351427841083,0.761886235677836,0.811458498031747,0.913182793117406
"SREBF1",12.5726998676425,12.6683811850595,13.0934631037086,-0.095681317416938,-0.520763236066086,0.500657220229165,0.0422502855173672,0.838604588580956,0.307768794936667
"TFDP1",2.28412869653781,2.50585775479674,1.52515460274007,-0.221729058258931,0.758974093797732,0.503098674354922,0.0704049775149677,0.838604588580956,0.330512255556376
"NFE2L2",11.2291942804075,10.7263546491629,11.5319560758733,0.502839631244576,-0.302761795465818,0.506140047545902,0.771490713629338,0.838604588580956,0.91333760614398
"NFKB1",3.04838636659283,2.39336097978292,2.32246397900283,0.655025386809908,0.725922387589996,0.514603690649332,0.471385304118588,0.839520969589595,0.701781800049852
"POU2F2",2.42398519675558,1.80900966716146,3.68485514339462,0.614975529594119,-1.26086994663903,0.516628288978212,0.34042000664586,0.839520969589595,0.612353172240013
"RBPJ",1.30316617017137,1.08831418577657,0.954191957320487,0.214851984394806,0.348974212850885,0.524544579083704,0.354021733191921,0.844266989191866,0.619479487132302
"SP1",11.4609274924891,11.298065809572,11.3803327345471,0.162861682917084,0.0805947579419648,0.532984651909941,0.100898856267702,0.845510478207069,0.404313098857789
"FOXP1",16.3831317367266,16.3516570724356,16.3249176318145,0.0314746642909931,0.058214104912075,0.53532320217844,0.286981450142988,0.845510478207069,0.577379346121012
"SOX10",11.3997048592059,11.0900823067355,10.8216792064035,0.309622552470401,0.578025652802395,0.545093239300467,0.488720862693384,0.845893640864553,0.701781800049852
"RUNX3",0.143000527170335,0.115153728745931,0.092805880912795,0.0278467984244044,0.0501946462575404,0.553495704718537,0.35913171710393,0.845893640864553,0.619479487132302
"ZBTB33",15.3087988437803,15.2220511038861,15.521153295803,0.0867477398941716,-0.212354452022741,0.55500117125627,0.305668953276553,0.845893640864553,0.588862431529772
"FOXA2",2.23592675018476,2.46524493392483,3.3793387440231,-0.229318183740071,-1.14341199383834,0.558475038347587,0.035745347585904,0.845893640864553,0.307768794936667
"NFYB",16.9068477624774,17.0170535101344,17.5293635154118,-0.110205747656973,-0.622515752934326,0.560592235365858,0.0139307529494998,0.845893640864553,0.235429724846547
"CEBPD",4.94394459127998,4.44796965192293,4.92375635083955,0.495974939357056,0.0201882404404339,0.581551489716672,0.984983182616731,0.869753997894846,0.993111243103463
"CLOCK",16.7993450090561,16.8662629644186,16.8008775761284,-0.0669179553625625,-0.00153256707238469,0.591672435368674,0.99064358612221,0.872029219300754,0.993111243103463
"MEF2A",12.2500338243429,12.0760275090536,10.6080652124214,0.174006315289279,1.64196861192146,0.594982641059223,0.108225823932333,0.872029219300754,0.404313098857789
"TP53",9.96693887841383,9.98751928840566,9.92391831958797,-0.0205804099918261,0.0430205588258605,0.598552600230103,0.229739017506336,0.872029219300754,0.543849195041533
"REL",1.73556356572514,1.49067002028992,1.55923734186507,0.244893545435218,0.176326223860065,0.607798755693295,0.661873925639611,0.875652111059524,0.841027770173641
