"gene","kME"
"SHANK3",0.970093501120675
"PLEKHG5",0.969181894326133
"SRRM3",0.965257300399257
"LOC105371485",0.963637100566908
"CDHR2",0.961430195455806
"PTCH2",0.957405931018555
"SLC22A14",0.949200391117687
"HHIPL1",0.949154654618247
"TNFRSF25",0.949044596972657
"CBFA2T3",0.948524716767193
"KIAA1522",0.946897791776977
"PITPNM2",0.946877359101252
"KCNT1",0.945668640239387
"FAM153B",0.945309414155868
"SLC26A10",0.942310547323501
"SPTBN4",0.938583171181876
"GLIS1",0.938367604626943
"CELSR3",0.937258263465508
"LOC286083",0.936633869372962
"PPFIA4",0.935907706669467
"PLEKHA6",0.934531083379796
"FGF17",0.933055568070003
"C9orf172",0.932898824128715
"ZNRF3",0.932175939028413
"FGD1",0.93180209219502
"LINC00599",0.931783155434037
"PIP5K1C",0.930433105923189
"KIFC2",0.93015936388511
"CFAP46",0.928850348676036
"GOLGA7B",0.92876254820219
"KLHL29",0.928528667914952
"TRIM17",0.927528479515225
"SHANK2-AS1",0.926773319297058
"FAM153C",0.926689146296635
"GPR68",0.926555474132189
"GAS2L1",0.926262807534172
"MEG3",0.926022992139899
"MAST1",0.925073834475945
"ULK1",0.924820323728952
"TDRG1",0.923859589200077
"LRP3",0.923441622084831
"CRTC1",0.923200768065216
"B4GALNT3",0.922792412016533
"IGSF9B",0.922780638140323
"MIR4697HG",0.922289084759442
"SH3D21",0.921828143306777
"HECW1-IT1",0.921695493594139
"SLC9A5",0.920402338962846
"KCNH2",0.920293387649464
"ZNF703",0.919647619104675
"GPR153",0.919017302814748
"DUSP8",0.918971200892667
"CBARP",0.918532531236318
"LHX2",0.91827763657923
"LOC100133077",0.917763224528727
"SRC",0.917650137015182
"SLC29A4",0.916572167246705
"TRERF1",0.916566469353642
"ANKRD18B",0.916525705472596
"KRTAP5-AS1",0.916498749945421
"GRIK5",0.915767650418183
"MOK",0.915752697135599
"SNAI3",0.915538654475136
"CACNA1D",0.914566705107515
"PLXNA1",0.914503397868677
"LOC105376331",0.914189045378166
"LINGO1-AS2",0.913756365161219
"OBSCN",0.911975386544542
"SLC7A10",0.91149271379822
"BICDL1",0.910812582345384
"MYO15A",0.910751912453738
"CACNA1C-AS4",0.91006392680645
"CELF2-AS2",0.90907175337678
"RNF207",0.908959959895638
"GLB1L3",0.908722681849996
"LOC102724699",0.908107656118247
"CFAP74",0.908069277020907
"UTS2R",0.90802932640865
"LOC101929269",0.906794431176918
"ADGRB1",0.905972048677788
"WNT8A",0.90595169268192
"CHRD",0.905929842870611
"NHS",0.905925154188654
"SYNE1",0.904878815630418
"CACNA1I",0.904370675657622
"ALS2CL",0.904108274875709
"FAM57B",0.903998956192027
"DGCR5",0.903979989229254
"BEGAIN",0.903801622359796
"SHROOM3",0.903725109678505
"PDE4C",0.903134693662173
"MAPK11",0.903081377049569
"CACNA1C-IT3",0.902540520558745
"LOC101928786",0.902441601339813
"PALM",0.902235372931367
"LINC00951",0.901070553726005
"KCNIP2",0.901005245412417
"LOC100130238",0.90092113468377
"COL23A1",0.900525607103922
"TMEM74B",0.900416004844282
"PWWP2B",0.900325106603337
"ZNF831",0.900233631149696
"TMEM132A",0.899255843925594
"PANX2",0.898591294292385
"ELFN2",0.898512783845311
"KCND3-AS1",0.897311958716193
"SLC22A13",0.895329542905263
"SBK1",0.894584503559917
"MAP3K10",0.894174010461033
"HCN4",0.893889559547876
"NR2F1",0.893793710837589
"KIF21B",0.89350298634298
"SLC37A1",0.892776553993297
"LOC102724450",0.892694071613565
"CA7",0.892425652398072
"RAI2",0.892323302843936
"ZBTB7C",0.891785804974303
"DNAH2",0.891487242022006
"KLHL34",0.891449256180102
"MTUS2",0.891113584236679
"KCNIP2-AS1",0.890984412793652
"TMEM108",0.890967846807564
"ASGR1",0.890293787176108
"SLC45A4",0.890158182938843
"GP6",0.889627703832156
"THSD1",0.889605254039868
"FAM155A-IT1",0.88876465772959
"LOC100130705",0.888684770292463
"KCNQ4",0.888498969028859
"LOC105371899",0.888309101046022
"DLGAP1-AS5",0.888171533003379
"NSMF",0.888091220383297
"SCRT1",0.887566035989706
"DGCR10",0.887539720687687
"LINC01750",0.887473918570351
"MIAT",0.886943219656104
"C15orf59",0.886744698289449
"CACNA1A",0.885349833585859
"CDH22",0.885285828914676
"ADAMTS10",0.884552679821333
"P2RY14",0.884343494339248
"NPAS1",0.884084470326677
"SNORD115-13",0.883928267165856
"DIO3",0.883599647420591
"NAB2",0.883096473735929
"KIAA1549",0.882758988698979
"ESYT3",0.882424751971837
"ADRA2C",0.882221578425796
"MMP17",0.881751689688822
"ZBTB46",0.881418311255579
"ERICH1-AS1",0.880455742835183
"CHST1",0.880114321943578
"EFCAB12",0.880058000296213
"TSPOAP1",0.879763393137935
"KIAA1257",0.879156369952306
"SYT15",0.878131034370955
"LOC100506585",0.878053689184122
"TPST2",0.877576490384601
"SNX32",0.87700483112944
"C14orf180",0.876652307858614
"PRRT4",0.876238485627445
"RHBDL1",0.876002238648375
"FGF12-AS3",0.875949312983406
"IRS1",0.875315796153853
"C11orf95",0.874503307960604
"FOXQ1",0.87361241878822
"HYAL3",0.872727191608053
"LOC441455",0.871195478560747
"CNTFR",0.869787622352718
"ELK1",0.868783972488252
"LOC101929586",0.867228706626235
"FOXF2",0.866987413666692
"N4BP3",0.866106072503248
"CABLES1",0.865858990496874
"LAMA3",0.865668754675675
"LOC100132813",0.865500249141453
"CACNA1G",0.865444060681426
"B4GALNT4",0.865292444932681
"LTK",0.86493380311875
"RAPGEF4-AS1",0.862322193318836
"SDC2",0.861650854509899
"PRDM16",0.860956087126104
"TFR2",0.860606810366744
"CHRNA2",0.859101775078246
"JAG2",0.857699845226548
"CARMIL1",0.857450113781863
"SFXN5",0.857406381520295
"LRRC56",0.855933544049847
"NEURL1-AS1",0.855682007255126
"LINCR-0001",0.855505220405488
"SPAG5",0.8554211460476
"HRH3",0.854293346713594
"MIR124-3",0.852549820690767
"TUB-AS1",0.851518381766544
"KIF5A",0.851437247643185
"GRHL1",0.850851081683542
"RFPL2",0.850728845601266
"SNORD115-4",0.850424025420365
"SCRT2",0.849405009280986
"LINC01250",0.848160690631895
"SMPD3",0.847804501175285
"TCHH",0.846898955769028
"DNAH3",0.84670224904295
"TBX1",0.84435682828121
"SLC6A11",0.844356494225615
"GJB3",0.844054863656668
"CRLF1",0.842433996996657
"RNF43",0.841229060306092
"LOXHD1",0.841068043614008
"ORAI2",0.840366581154272
"ANKS4B",0.839566911487893
"KCNMA1-AS3",0.839473991456737
"DBH",0.839052410301259
"CACNA2D2",0.838085406654608
"MAPK12",0.8377356945928
"PASK",0.837558719276177
"KCNIP4-IT1",0.837483241338225
"LMTK3",0.836036811538593
"MSANTD1",0.833491171111643
"C15orf56",0.832468969445995
"AHRR",0.831925826192076
"COL5A1",0.829913001152166
"LOC100506895",0.829531601908298
"TMEM145",0.829513347675071
"CRABP2",0.829493415209372
"RIN1",0.82949190551737
"FOSL2",0.829360474068326
"CACNA1H",0.829339002364132
"HTATSF1P2",0.828228669565094
"FZD8",0.827505851235035
"LOC574538",0.827224393739326
"LOC401585",0.826992072850777
"ERC2-IT1",0.826031045449216
"LOC101927759",0.825437586824281
"CUX2",0.825196272796099
"EMX2OS",0.825022110765405
"KCNH4",0.824326956912353
"SNORD115-20",0.824047286897703
"DBNDD1",0.823930594316095
"FGD5P1",0.823343380118019
"LARGE-AS1",0.8231958022531
"GLI2",0.821198373202855
"CGNL1",0.821109860679134
"IL34",0.820413984792339
"GRM7-AS2",0.820096156016503
"SLC25A41",0.819934975990143
"RAB26",0.819870964702156
"ACE",0.81981513150544
"DNAI1",0.81953810128874
"AIFM3",0.819502174686672
"PLAC9",0.819431505669645
"SRXN1",0.819209399988092
"ZDHHC8P1",0.817568912232163
"NOTUM",0.817544542249334
"TRANK1",0.81727608095028
"MIR124-1",0.816562745065413
"CADM3-AS1",0.816282012853329
"CEACAM19",0.81620933582815
"LOC401442",0.815078290372463
"SPRNP1",0.814119204846009
"CACHD1",0.813958563750356
"SAMD14",0.81332215330266
"ABCA7",0.812517635064159
"VSIG2",0.811959089518827
"ADORA2B",0.809307982931522
"LNX1-AS1",0.809272780515712
"GRIP2",0.808682260675446
"RASL10B",0.807930319304854
"CCDC88C",0.807768353468882
"KIF26A",0.807202363295691
"OTUB2",0.806930243014686
"NHSL2",0.806469131461858
"GRM2",0.805900233257761
"SPPL2C",0.805434909153855
"FKBP11",0.805192484508141
"EYA2",0.804360371830913
"YAP1",0.804166947692776
"TRIM54",0.803774724101807
"LCA10",0.802421753741041
"BHLHA9",0.801801465531167
"ANKRD24",0.801353949747508
"NRG3-AS1",0.801237355994929
"LINC01756",0.800693319508764
"MIR370",0.799994318046608
"NANOS1",0.798472713653968
"LOC101929596",0.7982570808617
"BBC3",0.796999972110486
"LINC00202-1",0.796642956266395
"BPIFB1",0.796513800873231
"CCDC57",0.796470363872567
"LOC400553",0.796152985496287
"CARMIL3",0.79585978555967
"DGKA",0.795826535872801
"C1QL2",0.795405175591149
"FGFRL1",0.793496265764349
"YJEFN3",0.79349556388103
"SEPT5-GP1BB",0.79297732295619
"ZFR2",0.791450441893239
"LOC340074",0.791013860847895
"LRRC10B",0.789113893761522
"GRIN2D",0.78847550343506
"HSD3B1",0.788003959268831
"LOC100129534",0.787488812297661
"SLC13A5",0.786230077014789
"C22orf24",0.785876378652207
"SLC22A6",0.785707052719688
"LINC00710",0.785069652819452
"DISP3",0.783846429064501
"DNAAF1",0.782868338718707
"SLIT1-AS1",0.782450430999987
"LOC101928416",0.782177994007021
"STRC",0.781938722211542
"SOX1",0.780514539551171
"WTIP",0.777701847117481
"KCNG2",0.777502079975632
"PWAR1",0.776455505976304
"LZTS1-AS1",0.773872952990723
"LOC101929439",0.773423193545307
"TFAP2C",0.772777918937615
"RLBP1",0.768555845397706
"ARHGEF33",0.767954830227579
"LOC100289473",0.766005060271007
"CHST7",0.763070071438079
"PPEF2",0.760527199879161
"SNORD115-26",0.759911435555896
"KCND3-IT1",0.758035880826116
"SYPL2",0.756753949224009
"PLA2G5",0.754726710075118
"LOC100130673",0.752760084979033
"PARD6G-AS1",0.75235314161689
"VWA5B2",0.750658513171482
"SFTPD",0.750562591815417
"HSD11B2",0.74850854963162
"ADCY10",0.747192085147023
"PRELP",0.74497066660323
"LOC100129697",0.743163247380937
"P4HA2",0.742601188039273
"GRIN2C",0.740194048526951
"TMEM213",0.735972747554216
"MUC4",0.735783785922478
"LOC100129617",0.735628913791665
"CSDC2",0.733806455875886
"LINC00565",0.7336390227825
"VWA3A",0.732945725334681
"TGFB2",0.730745751013307
"SLC5A4",0.729252683433689
