"gene","kME"
"PKD1P6-NPIPP1",0.95758243983006
"PRSS53",0.948328203642019
"UCKL1-AS1",0.947806046292726
"ZBTB46-AS1",0.946453331523042
"ADORA2A-AS1",0.944487604287075
"CEL",0.943117622865785
"LAMA5",0.942728214115778
"LOC148696",0.942605734255217
"SRRM5",0.935455393339214
"LOC100131496",0.935125388057635
"RAI1-AS1",0.935104776725756
"AMIGO3",0.931156064156387
"SMCR5",0.93111679552574
"LRRC46",0.930897721973716
"NLRC3",0.929826177205274
"C16orf71",0.929328294199401
"LOC284933",0.92870089261327
"LOC101929698",0.927233431775465
"FER1L5",0.92688657682734
"SERINC4",0.926277417084146
"ASB16",0.923303450881278
"LOC105371049",0.922158319952593
"SPTBN5",0.921866561931488
"SLA2",0.920174939633229
"LHX4-AS1",0.919084215531091
"FUT2",0.918806133988294
"RASGRP4",0.918273499170325
"FAM65C",0.918170038974815
"QRICH2",0.916404814982424
"MAPT-IT1",0.91598934564969
"CCDC78",0.915003254839385
"UCP3",0.915001543736029
"NOXO1",0.914392613955846
"MROH6",0.914291348939236
"ZNF750",0.914173732037779
"SYNE4",0.912375671053933
"NBEAL2",0.911295110281287
"CCDC154",0.91093398818106
"ANKLE1",0.909556175984761
"CLCF1",0.904750525434586
"PKN3",0.904019390300926
"MAMDC4",0.903256309619513
"IRAIN",0.902540651566755
"SMTN",0.901326182599676
"SH3GL1P1",0.901200502283851
"ZNF552",0.900388403112168
"NTN3",0.900385498150962
"LRP1-AS",0.899692854761375
"ZGLP1",0.898030386682266
"MIR4516",0.897381061909275
"LOC100507373",0.895717267346579
"LMNTD2",0.895392922803224
"CTBP1-AS",0.893413651401564
"GDPD3",0.892610335758153
"ITGA10",0.89203757532496
"COL27A1",0.890484878037178
"P3H3",0.8904626315202
"TCAP",0.889347961495704
"FSCN2",0.888512284628692
"CIRBP-AS1",0.886194642143323
"SSBP3-AS1",0.886122819655005
"LOC101927257",0.886015045475102
"ZNF692",0.885381002846515
"SIX5",0.884780154980333
"ABCC6",0.884779047251625
"ADAM33",0.884710097227539
"SNED1",0.88460481987209
"PRX",0.884210068393839
"SLC52A1",0.883702174979219
"ACTN3",0.883040655417694
"HYAL1",0.882392402289953
"LOC101927181",0.882062355680964
"SPATC1",0.880722937621882
"LOC100130548",0.879064078460438
"NYNRIN",0.878370191760544
"VPS9D1-AS1",0.877259072353575
"ADORA2A",0.876218685879814
"COL18A1-AS1",0.873920555495046
"GNB3",0.873577357949746
"DSCAM-IT1",0.872433094377866
"SPDYE1",0.871293619311957
"ZNRF3-AS1",0.870238672024932
"LOC101927143",0.86956132731365
"LOC100507091",0.868956833959862
"RECQL4",0.868325883959908
"LOC729652",0.868291572886001
"HEATR9",0.867141031371848
"DNASE1L2",0.867018262776984
"LINC00176",0.866043544806684
"ZBTB32",0.86586663013759
"C20orf173",0.865567093032739
"OGFRP1",0.865430669726739
"LOC101926935",0.865378757822373
"HSD3B7",0.864531964835519
"WFIKKN1",0.86422416439359
