"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"KEGG_ABC_TRANSPORTERS",0.401015228426396,0.671005679248128,0.0819778796501272,-0.319068678209774,-1.04587074902067,43,"8647;94160;85320;154664"
"KEGG_ACUTE_MYELOID_LEUKEMIA",0.944736842105263,1,0.0610363728309177,0.193885280134756,0.708879693015341,57,"23533;3728;7704;3551;6654;51176;4790;5970;5894;6655;208;6932"
"KEGG_ADHERENS_JUNCTION",0.984084880636605,1,0.059476028695732,0.168745773578895,0.645922266059796,72,"89;56288;4089;1387;7525;6591;8826;51176;1956;10163;10580;2260;6932;3480;3643"
"KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY",0.546174142480211,0.769195250659631,0.0894366833718621,0.249275270764078,0.937332597379531,65,"57818;4792;1375;32;79602;2180;6256;5465;3551;5565;6258;3952;181;4790;3667;5443;5970;7186;208"
"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",0.000380225418525875,0.00377988798416899,0.49849310876659,-0.657317367153041,-1.96424433599138,28,"259307;91703;2572;2571;2805;445;2747;56954;2746;7915;2806"
"KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION",0.0878378378378378,0.291188531651677,0.195789002148949,-0.42097076037842,-1.35483250960818,39,"2810;53828;5582;6337;3479;478;5579;481;476;482;23439"
"KEGG_ALLOGRAFT_REJECTION",3.09570612151447e-08,1.74391444845315e-06,0.719512826338911,-0.772402034683321,-2.34082068150151,30,"5551;7124;3117;3119;3118;3123;3586;959;3127;3107;3135;3115;3122;3134;3105;3113;3108;3133;3592;3106;3111;3109"
"KEGG_ALZHEIMERS_DISEASE",3.06595931039262e-05,0.000471042839505776,0.557332238758646,-0.454606968412544,-1.80620286789957,143,"810;7124;3553;808;778;6622;2903;23236;4723;5330;2904;4711;5530;348;1020;5535;4722;2902;4023;4842;11261;5532;7384;5534;7386;2597;4698;440567;351;4706;3708;4718;4712;2906;4719;355;1345;5664;4694;7385;1351;4714;54205;4704;322;56901;1327;4701;4695;4713;1329;1340;51107;805;4725;1537;6389;4724;9167;1349;4700;6390;8851;4720;55851;4728;4729;4696;7388;823;2932;4726;637;801;84701;9377;488;4137;4702;1346;29796"
"KEGG_AMINOACYL_TRNA_BIOSYNTHESIS",0.705357142857143,0.931291852678572,0.0565299525056311,-0.299755700753982,-0.840112179769958,22,"2193;10056;54938;10352;123263;10667;23438"
"KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM",0.435215946843854,0.693882028458597,0.0766746872490091,-0.309670232745306,-1.00893929234747,41,"1118;3098;3099;2821;51706;2582;55907;2762;5372;51005;54187;3074;6675;4351;1727"
