"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"KEGG_ABC_TRANSPORTERS",0.56682769726248,0.823783289750946,0.0619762736001998,0.279519285195929,0.932150397447406,43,"368;8714;1244;24;10347;10060;64240;64241;19;225;5243;26154;4363;10057;6833;5826;89845;5244"
"KEGG_ACUTE_MYELOID_LEUKEMIA",0.949206349206349,0.985698306168105,0.0374584205912161,0.193564500328262,0.678126956620151,57,"51176;83439;23533;6932;3551;6934;2322;862;6654;208;1050;1978;5296"
"KEGG_ADHERENS_JUNCTION",0.803571428571429,0.970025510204082,0.0751181635276301,-0.206257538327225,-0.826672543745622,72,"60;71;1495;999;998;5818;88;4233;29119"
"KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY",0.708215297450425,0.935917721518987,0.0791316651768349,-0.222746393002624,-0.875792605111165,65,"5588;4852;7124;2180;9021;79602;2182;8717;5571;8517;5562;948"
"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",0.0371162674087253,0.136361938958143,0.321775918075361,-0.470870491649737,-1.54909272061925,28,"1373;443;2572;2571;56954;2805;2806"
"KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION",0.129533678756477,0.308326643800628,0.199915231309662,-0.347575854031963,-1.24857542273758,39,"53828;2810;481;6446;5582;3479"
"KEGG_ALLOGRAFT_REJECTION",0.0305669971906123,0.125248224751363,0.352487857583619,-0.450027781969483,-1.51776426651293,30,"3119;7124;3117;3127;3112;3123;3107"
"KEGG_ALZHEIMERS_DISEASE",6.17803800337864e-06,0.000149155488938713,0.610526878385931,-0.404727680096471,-1.81813305592498,143,"63928;3553;7124;23621;810;5663;805;351;4718;322;7386;4711;4723;6622;6389;4712;7384;4722;3028;55851;4720;5330;4719;6390;4706;374291;4729;1020;2597;4842;51107;1345;1329;808;23385;4695;11261;4704;4698;1347;1537;7385;4724;5532;27089;4713;4694;4728;4708;7388;8883;1327;9167;22926;4700;2903;440567;4714;778;4709;54205;4707;4725;4726;5530;1351;4715;1340"
"KEGG_AMINOACYL_TRNA_BIOSYNTHESIS",0.124105011933174,0.308326643800628,0.195789002148949,-0.427918507269415,-1.32284738018455,22,"10056;2193;51091;55699;54938;23438;10352;25973;118672;57038;123263;92935;80222;124454"
"KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM",0.708860759493671,0.935917721518987,0.0732558655828455,-0.234820164161257,-0.861130140266244,41,"3099;51706;55907;2584;8790;3098;2582;4351;10020;1727;2821;54187;6675;3073;29925;51005;55577;2673;2585;5238;1118;5372"
"KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS",0.0712401055408971,0.211220663796695,0.276500599254472,-0.350179577548407,-1.35189869047571,53,"63928;7124;5630;4747;10452;4842;5868;11261;5879;5961;5532;4741;7157;2903;6647;54205;5530;836;847;5534;9973;79139"
"KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION",0.122507122507123,0.308326643800628,0.216542836735348,-0.316411728570666,-1.23874574866001,64,"3119;3306;3447;3822;3117;3442;3127;3821;3112;3123;3107;5641;1514;10437;3823;5721;3105;2923;5720;6890;821"
"KEGG_APOPTOSIS",0.218562874251497,0.450452753030524,0.163180127180689,-0.274739536123179,-1.13569392719195,84,"63928;3552;4914;23052;3553;7124;5573;2021;5567;8717;8517;5575;11261;9131;5566;5532"
"KEGG_ARACHIDONIC_ACID_METABOLISM",0.124797406807131,0.308326643800628,0.158514105424824,0.374290601038989,1.27401615158848,48,"84647;5322;246;247;391013;8399;50487;123745;8644;4056;239"
"KEGG_ARGININE_AND_PROLINE_METABOLISM",0.29287598944591,0.572467077719418,0.129442887745046,-0.282846990555315,-1.09195538704386,53,"1373;29920;51056;113451;4942;2805;2806;262;2593;5009;219;4842;445;4953;4843;5832;223;2747;435;6723"
"KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC",0.859304084720121,0.985698306168105,0.0398406946073899,0.213752779517028,0.780920927270954,73,"89;2697;8515;51176;6442;3693;83439;3674;8516;22801;6445;6932;1832;3655;776;9254;6934;3679"
"KEGG_ASTHMA",0.015770351218778,0.070136561999302,0.352487857583619,-0.532199229087959,-1.61600251440961,21,"3119;7124;3117;3578;3127;3112;3123"
