"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_ADIPOGENESIS",0.0568513119533528,0.177660349854227,0.227987202850442,-0.306385239720553,-1.27235223994564,190,"1647;51129;1149;56729;8404;1306;6623;7532;1282;4191;92840;6817;226;25979;1738;10313;50;9908;27069;348;83871;23344;4722;5195;2167;400916;4023;5211;334;35;7384;3421;47;4698;1892;23788;4706;217;1384;10989;7316;54884;4199;2053;593;25813;1351;948;4189;7351;4713;10400;1537;6647;2109;51;1891;28512;7905;2879;1349;6342;55177;6573;6390;29088;5264;51805;4259;9131;10243;1431;2820;8322;1737;3910;718;8082;5209;56894;80273;51635;8780;29796;6888"
"HALLMARK_ALLOGRAFT_REJECTION",6.72015563420455e-05,0.000672015563420455,0.538434096309916,-0.421940554834086,-1.74039020579743,173,"9607;1991;3560;5551;3976;3569;973;7124;3553;3702;3662;6347;3117;6775;114548;5582;4843;6772;6367;3586;959;4830;916;3135;3122;717;5199;7070;3105;3383;5579;3108;3133;1230;2634;972;3592;7334;3111;3109;3932;894;5777;11146;912;355;6890;920;6891;602;8767;8651;322;1984;3566;3683;586"
"HALLMARK_ANDROGEN_RESPONSE",0.260981912144703,0.372651316047542,0.136490437780413,0.275699510221285,1.10990566237801,96,"563;54407;2289;3248;3856;3880;6414;6446;4117;3977;10461;10788;9053;2005;4094"
"HALLMARK_ANGIOGENESIS",0.199063231850117,0.321069728790511,0.150169802128406,0.357807071395922,1.20208135132136,33,"5104;6275;10631;4487;5196;6696;1462;4060"
"HALLMARK_APICAL_JUNCTION",0.900874635568513,0.958377271881397,0.0359208664409425,-0.198463573149727,-0.824176687085136,190,"7781;347902;58;7087;478;7450;71;7412;7533;7070;60;147;8174;3383;4192;70;1364;1006;7283;5097;6376;88;54509;5600;4597;8745;6624;4628;8517;80381;72;5818;3386;7791;5880;57463;103910;1384;1823;29126;257194;1002;9353"
"HALLMARK_APICAL_SURFACE",0.296116504854369,0.378048780487805,0.122679189568808,0.31940364247302,1.11850006256344,42,"255738;266727;79602;11126;9696;3315;8406;116085;672;84632;80274;131566;9465;3561"
"HALLMARK_APOPTOSIS",0.00799500384643589,0.0285535851658425,0.380730400722792,-0.351260699849435,-1.433134819707,158,"952;5551;1647;3569;7124;3553;3552;7153;1960;5058;4616;8743;2944;2026;10017;3456;929;1026;2012;5327;2769;969;8870;5914;5330;9890;8900;5534;4744;89941;3725;894;351;10059;595;355;54884;6890;5664;3489;8567;467;1017;10410;10134;5538;6647;2936;650;6709;2879;1491;6648;7417"
"HALLMARK_BILE_ACID_METABOLISM",0.716145833333333,0.795717592592593,0.0741758965588009,0.217432951404714,0.88584049291134,103,"29842;10351;51302;23460;7276;27232;8412;2180;6256;6820;335;4734;3991;6258;19;4864;367;5190;80270;196743;9963;366"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.296116504854369,0.378048780487805,0.0965629554309422,-0.303025175707565,-1.09702025510892,73,"3157;71;230;2731;7108;5641;114569;9415;3949;3156;4597;4023;39;5165;182;57761;2171;1595;3422;2224;467;5359;22809"
"HALLMARK_COAGULATION",0.302439024390244,0.378048780487805,0.0956031492204301,-0.282052788028626,-1.08746439056615,116,"3697;2152;1848;3172;7057;1519;9615;2157;7450;8237;5327;1638;717;5641;1311;5550;629;7056;2160;1515;6271;6284;2335;3690"
"HALLMARK_COMPLEMENT",0.144525547445255,0.267639902676399,0.138022242496643,-0.282277710022726,-1.17285024644291,189,"3697;2152;3569;1847;2919;2155;1848;3172;1519;151;54704;808;959;29106;2157;5327;717;60489;2153;5641;51056;5550;54331;629;5580;1515;1284;88;6284;30818;5698;2335;5321;725;838;5340;146547"
"HALLMARK_DNA_REPAIR",0.237366003062787,0.349067651562922,0.106729884364606,-0.279650455812482,-1.11984765412176,146,"4830;3251;8237;11130;2237;10309;55290;3704;1642;129607;5430;5983;6119;10189;8731;6880;51292;23204;1716;2967;8721;7157;25874;4860;11051;10978;11047;1069;5436;10134;5982;6621;8178;7298;2962;2879;6118;7251;5434;7936;2987;5432;50484;10302;353;286075;1479;2068;4350;51160;6809;79720;2965;10946"
"HALLMARK_E2F_TARGETS",0.13391557496361,0.260266049739734,0.143758989039275,-0.282984538703879,-1.18121208816141,196,"4605;6241;9212;10733;4288;7153;3149;9700;10635;4830;23594;24137;4609;1026;7037;4085;147841;146909;4173;29089;3925;9232;4175;203068;5631;3161;7283;2547;6790;6628;5983;6119;5395;3838;10248;81611;27338"
