"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_ADIPOGENESIS",4.48801814849313e-06,2.49334341582952e-05,0.610526878385931,-0.375015817947573,-1.78690599511816,190,"5168;3991;23187;6888;1282;1647;2109;1306;7263;1149;1717;79602;35;10313;47;7351;9908;5211;27069;1891;2167;25979;7384;51129;4722;23788;8780;6390;4706;1376;4191;54884;8802;593;7532;948;10989;23344;1738;1892;6776;84274;226;7905;4189;4698;25813;51635;9131;50;7316;1537;56729;2632;27089;4713;123;51805;3421;5195;10400;55177;84522;29979;80273;6342;4259;83871;6623;2878;6647;10935;79071;1737;4638;8404;1351;92840;29088;10113;10449;5860;4023;10243"
"HALLMARK_ALLOGRAFT_REJECTION",0.167330677290837,0.241379310344828,0.120433371642259,0.281652628068544,1.1690233489467,173,"3932;5196;6351;10225;729230;926;2833;916;8807;3600;2213;6352;7042;3603;3561;6367;27240;2147;914;56253;1956;3824;2268;919;8651;4050;925;8444;6363"
"HALLMARK_ANDROGEN_RESPONSE",0.00974913055063846,0.0194982611012769,0.380730400722792,-0.342925375001696,-1.45311451234928,96,"6319;10397;3638;6446;3992;6414;3157;2547;25803;1718;1836;3422;7520;22936;60481;3156;7163;1021;9510;23585;11047;55839;5036;4189;10513;3998;8031;9218;60559;27347;6652;2181;84159;567;2185;445347"
"HALLMARK_ANGIOGENESIS",0.255284552845528,0.354561878952123,0.105920292736253,0.361488907299469,1.15551792147971,33,"5196;10631;4487;6275;4060;8993;7448;2260;7422"
"HALLMARK_APICAL_JUNCTION",0.52,0.604651162790698,0.118287526124085,-0.206072329191442,-0.981910263080237,190,"5010;2770;2318;83700;3673;60;3638;92359;71;4192;143903;1495;6624;999;5818;7450;51148;88;4902;1308;7781;2593;3881;7533;8517;103910;7185;1265;5216;478;7412;23114;8751;10487;7087;1041;2771;3728;2200;4597"
"HALLMARK_APICAL_SURFACE",0.022441072638847,0.0400733439979411,0.352487857583619,0.45863943557065,1.52863366432334,42,"255738;116085;3315;266727;3561;9696;50617;11126;51458;51738;6517;142680;84632;2947;5205;2683"
"HALLMARK_APOPTOSIS",0.0216515892410261,0.0400733439979411,0.352487857583619,-0.29242801686256,-1.35739160981017,158,"7153;3552;952;2065;3553;2934;467;7124;4000;665;1647;388;5058;3569;5663;351;10628;9638;2026;10950;1806;4616;5330;969;54884;650;7417;10059;118;6648;3456;1027;929;3725;3489;10134;4255;6890;7818;5538;5747;9890;8878;2107;10682;3148;1499;2878;6647;6574;7076;3669;8900;2769;56616;706;89941;836;331;5526;10017;3659"
"HALLMARK_BILE_ACID_METABOLISM",0.128472222222222,0.21412037037037,0.234392647294686,-0.276659876695175,-1.17776604991073,103,"3991;92960;9420;4864;5191;5947;3992;20;23460;1593;2180;23600;347734;1718;83594;6579;3418;9409;3422;10351;54884;8856;3295;6820;5002;5824;51015;26061;51170;5825;64577;223;5213;6342"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",7.23427891230265e-06,3.61713945615133e-05,0.610526878385931,-0.504400125210653,-2.04111008322392,73,"928;7869;2770;6319;4598;7108;71;467;214;6713;39;20;3157;1595;1717;3422;1891;55902;5641;2224;3156;2222;50814;22809;2171;4597;10654;114569;5833;10682;1499;127;132864;1119;230;4047;308;5165;4023;3949"
"HALLMARK_COAGULATION",0.168965517241379,0.241379310344828,0.20207170902116,-0.260132287037511,-1.14414696314656,116,"1515;7018;928;3673;2934;3920;717;1361;7057;5654;7450;4224;9615;1519;22933;5641;8237;2152;378;553115;3172;3690;6284;5879;2157;7980"
